City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Safford,US,73.11,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
390,Inirida,CO,73.04,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
391,Breytovo,RU,81.52,scattered clouds,58.2993,37.8617,"The recreation center ""Sitinsky Beach"""
392,Shenjiamen,CN,77.59,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
393,Muzhi,RU,66.4,broken clouds,65.3667,64.6667,
394,Antalaha,MG,75.56,few clouds,-14.9003,50.2788,Hotel Vitasoa
395,Itoman,JP,84.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
397,Bac Lieu,VN,82.53,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
398,Bouna,CI,74.5,overcast clouds,9.2667,-3.0,Hotel Reserve
399,Ayan,RU,62.28,overcast clouds,56.45,138.1667,Gostinitsa
400,Krasnyy Chikoy,RU,68.43,broken clouds,50.3643,108.7512,Persona
401,Superior,US,65.7,mist,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
402,Uchaly,RU,70.32,broken clouds,54.2996,59.4521,"Хостел ""Четыре сезона"""
405,Luancheng,CN,78.46,light rain,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
406,Aitape,PG,79.3,broken clouds,-3.1374,142.3475,
407,Saint George,US,83.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
408,Jardim,BR,65.7,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
409,Saint-Claude,FR,70.2,scattered clouds,46.5,5.8333,la berlie du jura
411,Santa Cruz,BO,60.85,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
412,Saint-Georges,GD,80.89,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
413,Sinnai,IT,85.35,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
414,Ormara,PK,86.9,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
415,Ambilobe,MG,86.34,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
416,Ust-Koksa,RU,66.11,broken clouds,50.2696,85.6108,Uymonskaya Dolina
417,Magburaka,SL,79.79,moderate rain,8.7167,-11.95,PROF LAKOH
418,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
419,Pisco,PE,61.02,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
420,Namasuba,UG,76.82,broken clouds,0.6894,32.4214,Mwanje's Rentals
421,Livingston,GB,77.14,clear sky,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
422,Zagare,LT,81.36,broken clouds,56.3592,23.25,AnasNamas
424,Tabou,CI,78.53,overcast clouds,4.423,-7.3528,hotêl doufoulougou
429,Bela,IN,83.84,overcast clouds,25.9333,81.9833,Raj Bhawan
430,Mocuba,MZ,78.44,clear sky,-16.8392,36.9856,Phama Lodge
431,Babu,CN,81.68,moderate rain,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
432,Abeche,TD,84.22,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
433,Yerbogachen,RU,77.94,few clouds,61.2767,108.0108,
434,Turukhansk,RU,62.26,moderate rain,65.8167,87.9833,"ООО ""Туруханская пушнина"""
435,Eyl,SO,89.28,overcast clouds,7.9803,49.8164,Amiin Hotel
436,Manicaragua,CU,74.53,clear sky,22.1494,-79.9736,Hostal Las V
437,San Lazaro,BZ,76.78,broken clouds,18.0387,-88.6622,
438,Ternate,ID,80.1,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
439,Saint Anthony,US,65.98,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
440,Adamovka,RU,80.8,overcast clouds,51.5223,59.9396,Gostinitsa
442,Margate,GB,78.19,clear sky,51.3813,1.3862,Premier Inn Margate hotel
