City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Pisco,PE,2021-04-11 20:44:38,-13.7,-76.2167,77.0,57,0,18.41
283,Portland,US,2021-04-11 20:47:17,45.5234,-122.6762,55.99,37,20,6.91
284,Hasaki,JP,2021-04-11 20:45:32,35.7333,140.8333,46.4,93,20,3.44
285,Eureka,US,2021-04-11 20:48:42,40.8021,-124.1637,59.0,59,0,8.99
286,Stornoway,GB,2021-04-11 20:48:43,58.2093,-6.3865,34.0,69,20,2.3
287,Luderitz,NA,2021-04-11 20:48:43,-26.6481,15.1594,73.83,47,0,4.99
288,Taoudenni,ML,2021-04-11 20:44:00,22.6783,-3.9836,88.95,13,0,6.62
289,Alofi,NU,2021-04-11 20:47:25,-19.0595,-169.9187,78.8,83,75,3.44
290,Palana,RU,2021-04-11 20:48:44,59.1167,159.9667,5.99,93,99,2.21
291,Latung,PH,2021-04-11 20:48:44,5.5,120.8833,82.74,75,100,7.7
292,Turkistan,KZ,2021-04-11 20:48:44,43.0,68.0,48.54,56,93,3.29
